user_id,count
Harry325Kitajima,14
sanesuke,9
Mahito,11
goto_isyuku_dev,15
makkii,19
Galaxy64,2
G4NP0N,7
rarusun,6
yk356,13
hnust_caopengjie,2
CleanerBot358,10
licht0,13
miura0319,6
bokuzin,9
kametan0730,2
kushu,11
konoLv1,19
vraisamis,13
deankh,5
glycine,18
muhi_,16
echt,4
wgg,2
toshikish,15
moke,10
FS1229,8
tamago0224,6
koara777,2
suz64,8
may_disease,3
hir35,19
tktk_snsn,10
SophieChino,5
UtopianF,11
aratobi,12
matsuren,15
rose_gold,9
horubono,16
gomatamago,18
yukke714,14
sapphire15,15
Kakashi77,6
brightcat,18
monokuro,4
menyawa,3
enip,13
oginoyu,1
sg08,10
goldfish,11
Tatsuyaaaa,18
Shimasan,2
amuyikam,15
momongaclub,7
mi0205,12
Iso_,14
mitsusawa,16
nrmt,10
mkakh,1
klno,19
surprise_tanaka,6
matsuwo,3
Harunari,9
OvO_3Pst,7
hals,19
MizukiHashimoto,16
you4116,3
RY_0528_RY,8
Percentage,15
maruny7,16
hirakumo,5
basan,16
mski_iksm,5
lengthandditty,17
noamoa16,13
YwelshonionY,16
makishimutomato,17
redchimps,10
tmbrms,2
mi2,18
tough,7
Fugitsune,9
auth615,7
ryotaro,14
BkcT,14
Harunyann,6
yochan,17
hnust_chenjiedon,5
copy,15
sakana27071,6
kyosuke0924,13
hnust_liuxin,10
Pine,14
takasu,12
pyu666,5
mui_nyan,13
csnagu,7
hnust_liuzelin,9
akizora,17
Necoer,2
Takeru_56,8
NKgiants1110,11
lotus7R6,14
pointN,17
zero_kpr,15
tennismonkey01,7
Hyado,19
mitchieDuho,19
yuma14,7
Manuel1024,14
yaminote,9
earlgray283,18
asako9494,15
y4imfdy2,3
ashwatthama,2
hedral,12
aoyama244,6
sarara,3
ryoo14,15
muririn,16
kingofwhitestone,11
hnust_fangbo,7
Johann,3
daichi_0224,15
KOSD_Kazuki,11
Pomato_b,6
esio_trot,14
jaijai,6
mobileOnion,6
taichey1207,13
watano1168,6
bbpink,15
qweszxc6304,3
hagemori,15
