rank,user,participation,rating
663,MaGaroo,80,2281
663,fblogy,16,2281
663,phoenix__jpn,5,2281
663,shanxizeng,29,2281
663,__JuRuo,15,2281
663,yamunaku,55,2281
663,LittleBeetle,8,2281
671,DaniilF,21,2280
671,tractor74.ru,58,2280
671,Sortoite,4,2280
674,AllCatsAreBeautiful,137,2279
674,maximumSHOT,130,2279
674,NekoKarp,51,2279
674,-FizzyDavid,12,2279
674,Pepega,11,2279
679,OreWaFujimiNoKeeDaaa,105,2278
679,LordAlbusDumbledore,4,2278
679,Rose_max,14,2278
682,UESTC_Sphinx,91,2277
682,alex_Harry,58,2277
682,W_Szymanski,16,2277
682,lzqwq,22,2277
682,mlby,14,2277
687,Alexandr_TS,89,2276
687,sorry_marymarine,171,2276
689,Ilya_MSU,149,2275
689,gasin,64,2275
689,Morokei,37,2275
689,liu_zhan,10,2275
693,jtnydv25,91,2274
694,buko,111,2273
694,AAWisong,31,2273
694,nirvana,85,2273
694,SoulTch,33,2273
694,kf11,7,2273
694,xay5421,8,2273
694,T_L_T_P,6,2273
701,Crossguard,6,2272
702,AlexLuchianov,25,2271
702,KLPP,17,2271
702,OYJason,19,2271
702,shahaliali1382,7,2271
702,yeeznn,8,2271
707,GandalfTheGrey,190,2270
707,huntfire,12,2270
707,smartnj,50,2270
707,dvdg6566,19,2270
711,Yousef_Salama,95,2269
711,bomo,23,2269
711,SendThemToHell,29,2269
714,gskhirtladze,188,2268
714,Sakura,34,2268
714,Kuyan,44,2268
714,mixnuts,18,2268
714,Castor,4,2268
719,Milanin,119,2267
719,Franklyn_W,42,2267
719,lintoto,32,2267
719,HeHere,20,2267
723,mshcherba,103,2266
723,ialakhtin,23,2266
725,misael,75,2265
725,aleex,57,2265
725,fredrik.w.ekholm,23,2265
725,mao_hate_hack,18,2265
725,i_am_sooke,5,2265
725,8-_-8,4,2265
731,cuiaoxiang,33,2264
731,mbrc,87,2264
731,arthurpd,15,2264
731,UncleGrandpa925,76,2264
731,xpysss,4,2264
736,Barichek,130,2263
736,pazzle1230,70,2263
736,YogayoG,73,2263
736,alan_cty,7,2263
740,Zayin,16,2262
740,zhoutb2333,5,2262
742,_HYX_,23,2261
742,T1duS399,78,2261
742,joulej,55,2261
742,shiliangzhi,7,2261
