rank,country,user,affiliation,birth,rating,highest,match,win
341,CN,cuiaoxiang,,1983,2435,2435,23,0
342,TW,tmwilliamlin168,,2002,2434,2453,15,0
342,PL,Rzepa,University of Wrocław,,2434,2434,7,0
344,KR,kcm1700,,,2432,2524,14,0
345,CN,nqiiii,Hangzhou Xuejun High School,,2431,2431,6,0
346,CN,QAQAutoMaton,www.qaq-am.com,2005,2430,2430,18,0
346,CN,qiqi20021026,,2002,2430,2443,11,0
346,UA,antontrygubO_o,,,2430,2455,15,0
349,JP,satanic0258,Muroran Institute of Technology,1996,2429,2516,98,0
349,AU,AngusRitossa,,2001,2429,2454,27,0
349,ZW,qwqwq,,1930,2429,2429,5,0
352,JP,drken,MSI,,2427,2503,37,0
352,RU,Denisson,,2000,2427,2427,11,0
354,CN,zhan8822,,2000,2426,2468,6,0
355,JP,mamekin,社会人,1988,2425,2581,45,0
355,JP,mtsd,The University of Tokyo,1994,2425,2425,68,0
357,CN,shanquan2,,,2424,2424,2,0
358,JP,June_boy,Shibuya Junior High School,2004,2423,2423,59,0
358,RS,ivan100sic,University of Nis,1995,2423,2423,7,0
360,JP,phidnight,UT,,2422,2570,12,0
361,CN,orzGEOTCBRL,,2000,2421,2421,9,0
362,JP,tokoharu,,1991,2419,2508,15,0
362,MD,yoseisan,,,2419,2477,37,0
364,CN,ESpace,,2000,2418,2469,12,0
365,JP,platypus,unidentified,,2412,2422,78,0
365,JP,nikutto,Kyoto University,1997,2412,2425,68,0
367,TW,cchao,National Taiwan University,,2411,2433,23,0
367,RO,Mikester,,,2411,2478,14,0
367,CN,linkct,,,2411,2464,9,0
370,CN,zhan8855,,2000,2409,2409,12,0
371,JP,Hec,A Certain Company,1994,2408,2503,93,0
372,CN,Victor_Lee,,,2407,2407,32,0
373,IR,LiTi,,1998,2405,2410,9,0
373,VN,xuanquang1999,,1999,2405,2449,25,0
373,CN,djq_cpp,Nanjing Foreign Language School,2005,2405,2405,15,0
376,JP,potetisensei,kyuridenamida,,2403,2565,27,0
377,JP,goodbaton,Tokyo Tech,1998,2402,2551,41,0
377,CN,fwm94,Nanjing University,1994,2402,2465,21,0
379,JP,mechanicalpenciI,Uts1-B1,2000,2398,2457,26,0
380,CA,azneye,University of Waterloo,,2397,2397,14,0
380,US,negativeb,MIT,,2397,2397,8,0
382,JP,tubuann,University of Aizu,2000,2395,2395,30,0
383,JP,kotamanegi,Osaka University,2000,2394,2422,93,0
383,CN,zhou888,Yali Middle School,2002,2394,2395,17,0
385,JP,omochana2,The University of Tokyo,,2392,2421,30,0
385,JP,Hoi_koro,,1992,2392,2400,74,0
385,CN,cwystc,Hangzhou No.2 High School,2001,2392,2392,25,0
388,CN,EricHuang2003,The Experimental High School Attached to BNU,2003,2391,2391,6,0
389,JP,ogiekako, ,,2389,2544,20,0
390,KR,tncks0121,??,,2386,2402,11,0
390,CN,cyand1317,HSEFZ,2000,2386,2386,17,0
392,RO,laurageorgescu,ICHB,2000,2385,2433,12,0
392,CN,t0urist,,2004,2385,2385,26,0
394,CN,ShichengXiao,Yali Middle School,2002,2384,2384,23,0
395,US,TusanHomichi,,,2383,2383,8,0
396,JP,hamadu,Google Japan G.K.,1988,2382,2503,44,0
396,JP,piroz95,,1995,2382,2440,40,0
398,CN,Warden,,,2380,2380,16,0
398,CN,beginend,,2001,2380,2380,14,0
398,JP,chocorusk,Kyoto University,1995,2380,2398,35,0
401,RU,azukun,,,2379,2444,23,0
402,CN,skyline,,2002,2377,2377,16,0
403,IR,sasa99,,1999,2376,2528,13,0
404,IN,rahuldugar,IIT Roorkee,2000,2374,2473,33,0
405,CN,OrenjiSora,,1995,2373,2373,7,0
405,CN,csy2005,18724019538,2005,2373,2373,32,0
407,CN,TianXie,Shanghai University of Finance and Economics,1991,2369,2512,17,0
407,CN,rqgao2014_a,Nanjing Foreign Language School,2000,2369,2369,2,0
409,RU,demon1999,ITMO university,1999,2368,2391,8,0
